pl_name,hostname,disc_year,discoverymethod,disc_facility
"""Kepler-11 c""","""Kepler-11""",2010,"""Transit""","""Kepler"""
"""Kepler-11 f""","""Kepler-11""",2010,"""Transit""","""Kepler"""
"""OGLE-TR-10 b""","""OGLE-TR-10""",2004,"""Transit""","""OGLE"""
"""HD 210702 b""","""HD 210702""",2007,"""Radial Velocity""","""Lick Observatory"""
"""BD-08 2823 b""","""BD-08 2823""",2009,"""Radial Velocity""","""La Silla Observatory"""
"""BD-08 2823 c""","""BD-08 2823""",2009,"""Radial Velocity""","""La Silla Observatory"""
"""HR 8799 c""","""HR 8799""",2008,"""Imaging""","""Gemini Observatory"""
"""HD 110014 b""","""HD 110014""",2009,"""Radial Velocity""","""La Silla Observatory"""
"""Kepler-33 d""","""Kepler-33""",2011,"""Transit""","""Kepler"""
"""HIP 5158 b""","""HIP 5158""",2009,"""Radial Velocity""","""La Silla Observatory"""
"""HD 125612 c""","""HD 125612""",2009,"""Radial Velocity""","""La Silla Observatory"""
"""HD 44219 b""","""HD 44219""",2010,"""Radial Velocity""","""La Silla Observatory"""
"""HD 6718 b""","""HD 6718""",2009,"""Radial Velocity""","""La Silla Observatory"""
"""HD 156846 b""","""HD 156846""",2007,"""Radial Velocity""","""La Silla Observatory"""
"""HD 132563 b""","""HD 132563""",2011,"""Radial Velocity""","""Roque de los Muchachos Observatory"""
"""HD 137388 b""","""HD 137388""",2011,"""Radial Velocity""","""La Silla Observatory"""
"""Kepler-17 b""","""Kepler-17""",2011,"""Transit""","""Kepler"""
"""HD 85512 b""","""HD 85512""",2011,"""Radial Velocity""","""La Silla Observatory"""
"""HD 23127 b""","""HD 23127""",2006,"""Radial Velocity""","""Anglo-Australian Telescope"""
"""HD 100655 b""","""HD 100655""",2011,"""Radial Velocity""","""Bohyunsan Optical Astronomical Observatory"""
"""kap CrB b""","""kap CrB""",2007,"""Radial Velocity""","""Lick Observatory"""
"""Kepler-24 c""","""Kepler-24""",2011,"""Transit""","""Kepler"""
"""GJ 667 C b""","""GJ 667 C""",2011,"""Radial Velocity""","""La Silla Observatory"""
"""HD 155358 b""","""HD 155358""",2007,"""Radial Velocity""","""McDonald Observatory"""
"""HD 79498 b""","""HD 79498""",2011,"""Radial Velocity""","""McDonald Observatory"""
"""CHXR 73 b""","""CHXR 73""",2006,"""Imaging""","""Hubble Space Telescope"""
"""HD 13189 b""","""HD 13189""",2005,"""Radial Velocity""","""Thueringer Landessternwarte Tautenburg"""
"""GJ 433 b""","""GJ 433""",2011,"""Radial Velocity""","""La Silla Observatory"""
"""HIP 5158 b""","""HIP 5158""",2009,"""Radial Velocity""","""La Silla Observatory"""
"""alf Ari b""","""alf Ari""",2010,"""Radial Velocity""","""Bohyunsan Optical Astronomical Observatory"""
"""Kepler-32 b""","""Kepler-32""",2011,"""Transit""","""Kepler"""
"""tau Gem b""","""tau Gem""",2013,"""Radial Velocity""","""Lick Observatory"""
"""HD 62509 b""","""HD 62509""",2006,"""Radial Velocity""","""Multiple Observatories"""
"""Kepler-370 c""","""Kepler-370""",2014,"""Transit""","""Kepler"""
"""Kepler-400 b""","""Kepler-400""",2014,"""Transit""","""Kepler"""
"""Kepler-221 b""","""Kepler-221""",2014,"""Transit""","""Kepler"""
"""Kepler-367 c""","""Kepler-367""",2014,"""Transit""","""Kepler"""
"""Kepler-393 c""","""Kepler-393""",2014,"""Transit""","""Kepler"""
"""Kepler-304 c""","""Kepler-304""",2014,"""Transit""","""Kepler"""
"""Kepler-360 b""","""Kepler-360""",2014,"""Transit""","""Kepler"""
"""Kepler-101 c""","""Kepler-101""",2014,"""Transit""","""Kepler"""
"""Kepler-243 c""","""Kepler-243""",2014,"""Transit""","""Kepler"""
"""Kepler-261 c""","""Kepler-261""",2014,"""Transit""","""Kepler"""
"""Kepler-327 d""","""Kepler-327""",2014,"""Transit""","""Kepler"""
"""Kepler-136 b""","""Kepler-136""",2014,"""Transit""","""Kepler"""
"""Kepler-122 d""","""Kepler-122""",2014,"""Transit""","""Kepler"""
"""Kepler-157 c""","""Kepler-157""",2014,"""Transit""","""Kepler"""
"""Kepler-147 c""","""Kepler-147""",2014,"""Transit""","""Kepler"""
"""Kepler-239 b""","""Kepler-239""",2014,"""Transit""","""Kepler"""
"""Kepler-200 b""","""Kepler-200""",2014,"""Transit""","""Kepler"""
"""Kepler-243 b""","""Kepler-243""",2014,"""Transit""","""Kepler"""
"""Kepler-160 c""","""Kepler-160""",2014,"""Transit""","""Kepler"""
"""Kepler-210 c""","""Kepler-210""",2014,"""Transit""","""Kepler"""
"""Kepler-254 b""","""Kepler-254""",2014,"""Transit""","""Kepler"""
"""Kepler-172 c""","""Kepler-172""",2014,"""Transit""","""Kepler"""
"""Kepler-299 c""","""Kepler-299""",2014,"""Transit""","""Kepler"""
"""Kepler-278 c""","""Kepler-278""",2014,"""Transit""","""Kepler"""
"""Kepler-339 d""","""Kepler-339""",2014,"""Transit""","""Kepler"""
"""Kepler-397 b""","""Kepler-397""",2014,"""Transit""","""Kepler"""
"""Kepler-399 b""","""Kepler-399""",2014,"""Transit""","""Kepler"""
"""HD 219415 b""","""HD 219415""",2012,"""Radial Velocity""","""McDonald Observatory"""
"""Pr0201 b""","""Pr0201""",2012,"""Radial Velocity""","""Fred Lawrence Whipple Observatory"""
"""eps Tau b""","""eps Tau""",2006,"""Radial Velocity""","""Okayama Astrophysical Observatory"""
"""HD 207832 b""","""HD 207832""",2012,"""Radial Velocity""","""W. M. Keck Observatory"""
"""HD 207832 c""","""HD 207832""",2012,"""Radial Velocity""","""W. M. Keck Observatory"""
"""nu Oph c""","""nu Oph""",2012,"""Radial Velocity""","""Okayama Astrophysical Observatory"""
"""HD 5608 b""","""HD 5608""",2012,"""Radial Velocity""","""Okayama Astrophysical Observatory"""
"""OGLE-TR-113 b""","""OGLE-TR-113""",2004,"""Transit""","""OGLE"""
"""GJ 676 A b""","""GJ 676 A""",2010,"""Radial Velocity""","""La Silla Observatory"""
"""HD 142 b""","""HD 142""",2001,"""Radial Velocity""","""Anglo-Australian Telescope"""
"""HD 159868 b""","""HD 159868""",2006,"""Radial Velocity""","""Anglo-Australian Telescope"""
"""eps CrB b""","""eps CrB""",2012,"""Radial Velocity""","""Bohyunsan Optical Astronomical Observatory"""
"""HD 4732 b""","""HD 4732""",2012,"""Radial Velocity""","""Multiple Observatories"""
"""HD 37605 c""","""HD 37605""",2012,"""Radial Velocity""","""Multiple Observatories"""
"""HD 40307 b""","""HD 40307""",2009,"""Radial Velocity""","""La Silla Observatory"""
"""HD 40307 d""","""HD 40307""",2009,"""Radial Velocity""","""La Silla Observatory"""
"""HD 40307 g""","""HD 40307""",2013,"""Radial Velocity""","""La Silla Observatory"""
"""GJ 676 A d""","""GJ 676 A""",2012,"""Radial Velocity""","""La Silla Observatory"""
"""HD 142245 b""","""HD 142245""",2011,"""Radial Velocity""","""W. M. Keck Observatory"""
"""HD 1502 b""","""HD 1502""",2011,"""Radial Velocity""","""W. M. Keck Observatory"""
"""HD 28678 b""","""HD 28678""",2011,"""Radial Velocity""","""W. M. Keck Observatory"""
"""HD 5891 b""","""HD 5891""",2011,"""Radial Velocity""","""W. M. Keck Observatory"""
"""HD 106270 b""","""HD 106270""",2011,"""Radial Velocity""","""W. M. Keck Observatory"""
"""HD 82886 b""","""HD 82886""",2011,"""Radial Velocity""","""W. M. Keck Observatory"""
"""HD 116029 b""","""HD 116029""",2011,"""Radial Velocity""","""W. M. Keck Observatory"""
"""HD 99706 b""","""HD 99706""",2011,"""Radial Velocity""","""W. M. Keck Observatory"""
"""HD 163607 c""","""HD 163607""",2010,"""Radial Velocity""","""W. M. Keck Observatory"""
